Year;Age;mx;qx;ax;lx;dx;Lx;Tx;ex
1901;0;0,17991;0,16108;0,35;1e+05;16107,587;89530,068;4137363,194;41,374
1901;1;0,06966;0,06731;0,5;83892,413;5647,001;81068,912;4047833,126;48,25
1901;2;0,04031;0,03951;0,5;78245,412;3091,835;76699,494;3966764,213;50,696
1901;3;0,02642;0,02607;0,5;75153,577;1959,392;74173,881;3890064,719;51,762
1901;4;0,01805;0,01789;0,5;73194,185;1309,575;72539,397;3815890,838;52,134
1901;5;0,01097;0,01091;0,5;71884,61;783,984;71492,618;3743351,441;52,074
1901;6;0,00847;0,00844;0,5;71100,626;599,868;70800,692;3671858,823;51,643
1901;7;0,0068;0,00678;0,5;70500,758;478,028;70261,744;3601058,132;51,078
1901;8;0,00532;0,00531;0,5;70022,73;371,636;69836,912;3530796,388;50,424
1901;9;0,0047;0,00469;0,5;69651,094;326,453;69487,868;3460959,476;49,69
1901;10;0,00414;0,00413;0,5;69324,641;286,595;69181,344;3391471,609;48,922
1901;11;0,00364;0,00363;0,5;69038,046;250,875;68912,609;3322290,265;48,123
1901;12;0,00352;0,00351;0,5;68787,172;241,429;68666,457;3253377,656;47,296
1901;13;0,00389;0,00389;0,5;68545,742;266,309;68412,588;3184711,199;46,461
1901;14;0,00442;0,00441;0,5;68279,434;300,998;68128,935;3116298,611;45,64
1901;15;0,00544;0,00542;0,5;67978,436;368,747;67794,063;3048169,676;44,84
1901;16;0,00628;0,00626;0,5;67609,689;423,333;67398,023;2980375,613;44,082
1901;17;0,00661;0,00658;0,5;67186,356;442,306;66965,203;2912977,591;43,357
1901;18;0,00674;0,00672;0,5;66744,05;448,195;66519,953;2846012,388;42,641
1901;19;0,00687;0,00684;0,5;66295,856;453,716;66068,998;2779492,435;41,926
1901;20;0,0077;0,00767;0,5;65842,14;504,952;65589,664;2713423,437;41,211
1901;21;0,00739;0,00737;0,5;65337,188;481,25;65096,563;2647833,773;40,526
1901;22;0,00795;0,00792;0,5;64855,938;513,749;64599,064;2582737,21;39,823
1901;23;0,00781;0,00778;0,5;64342,189;500,811;64091,784;2518138,146;39,137
1901;24;0,00823;0,0082;0,5;63841,378;523,489;63579,634;2454046,363;38,44
1901;25;0,00862;0,00858;0,5;63317,889;543,478;63046,15;2390466,729;37,753
1901;26;0,00849;0,00846;0,5;62774,411;530,99;62508,916;2327420,579;37,076
1901;27;0,0087;0,00866;0,5;62243,421;539,129;61973,857;2264911,663;36,388
1901;28;0,00889;0,00885;0,5;61704,292;545,876;61431,354;2202937,806;35,702
1901;29;0,00791;0,00787;0,5;61158,416;481,602;60917,615;2141506,452;35,016
1901;30;0,00862;0,00859;0,5;60676,814;521,041;60416,293;2080588,837;34,29
1901;31;0,00853;0,00849;0,5;60155,772;510,694;59900,425;2020172,544;33,582
1901;32;0,00903;0,00899;0,5;59645,078;536,26;59376,948;1960272,119;32,866
1901;33;0,00872;0,00869;0,5;59108,818;513,392;58852,122;1900895,171;32,159
1901;34;0,00911;0,00907;0,5;58595,426;531,649;58329,601;1842043,049;31,437
1901;35;0,00879;0,00875;0,5;58063,776;508,266;57809,643;1783713,448;30,72
1901;36;0,00866;0,00862;0,5;57555,51;496,33;57307,345;1725903,805;29,987
1901;37;0,0089;0,00886;0,5;57059,181;505,452;56806,455;1668596,46;29,243
1901;38;0,00933;0,00928;0,5;56553,729;525,086;56291,186;1611790,005;28,5
1901;39;0,00912;0,00908;0,5;56028,643;508,582;55774,352;1555498,819;27,763
1901;40;0,01105;0,01099;0,5;55520,061;610,208;55214,957;1499724,467;27,012
1901;41;0,0103;0,01025;0,5;54909,853;562,691;54628,508;1444509,51;26,307
1901;42;0,01197;0,0119;0,5;54347,162;646,761;54023,782;1389881,003;25,574
1901;43;0,01045;0,0104;0,5;53700,401;558,306;53421,248;1335857,221;24,876
1901;44;0,01036;0,01031;0,5;53142,095;547,803;52868,193;1282435,973;24,132
1901;45;0,01085;0,01079;0,5;52594,292;567,453;52310,565;1229567,78;23,378
1901;46;0,0109;0,01085;0,5;52026,838;564,262;51744,707;1177257,215;22,628
1901;47;0,01148;0,01141;0,5;51462,576;587,38;51168,886;1125512,507;21,871
1901;48;0,0131;0,01302;0,5;50875,196;662,238;50544,077;1074343,621;21,117
1901;49;0,0135;0,0134;0,5;50212,958;673,096;49876,41;1023799,544;20,389
1901;50;0,01674;0,0166;0,5;49539,862;822,572;49128,576;973923,134;19,659
1901;51;0,01661;0,01647;0,5;48717,29;802,501;48316,039;924794,558;18,983
1901;52;0,01952;0,01933;0,5;47914,789;926,243;47451,667;876478,518;18,292
1901;53;0,01953;0,01934;0,5;46988,545;908,652;46534,219;829026,851;17,643
1901;54;0,01967;0,01948;0,5;46079,894;897,485;45631,151;782492,632;16,981
1901;55;0,02262;0,02236;0,5;45182,408;1010,466;44677,175;736861,481;16,309
1901;56;0,02481;0,0245;0,5;44171,942;1082,326;43630,779;692184,306;15,67
1901;57;0,02575;0,02542;0,5;43089,616;1095,463;42541,885;648553,526;15,051
1901;58;0,02783;0,02744;0,5;41994,154;1152,472;41417,918;606011,641;14,431
1901;59;0,02727;0,0269;0,5;40841,682;1098,655;40292,354;564593,724;13,824
1901;60;0,03514;0,03454;0,5;39743,027;1372,642;39056,706;524301,369;13,192
1901;61;0,03251;0,03199;0,5;38370,385;1227,614;37756,578;485244,663;12,646
1901;62;0,03498;0,03438;0,5;37142,771;1276,909;36504,317;447488,085;12,048
1901;63;0,03675;0,03608;0,5;35865,862;1294,208;35218,758;410983,769;11,459
