Year;Age;mx;qx;ax;lx;dx;Lx;Tx;ex
1901;0;0,21441;0,18748;0,33;1e+05;18747,57;87439,128;3811656,292;38,117
1901;1;0,07854;0,07557;0,5;81252,43;6140,283;78182,288;3724217,164;45,835
1901;2;0,04529;0,04428;0,5;75112,147;3326,239;73449,027;3646034,875;48,541
1901;3;0,02788;0,0275;0,5;71785,908;1973,886;70798,965;3572585,848;49,767
1901;4;0,01778;0,01763;0,5;69812,022;1230,52;69196,763;3501786,883;50,16
1901;5;0,00952;0,00947;0,5;68581,503;649,538;68256,734;3432590,12;50,051
1901;6;0,00676;0,00674;0,5;67931,965;457,604;67703,163;3364333,386;49,525
1901;7;0,00553;0,00551;0,5;67474,361;372,115;67288,304;3296630,223;48,858
1901;8;0,00476;0,00475;0,5;67102,246;318,623;66942,935;3229341,919;48,126
1901;9;0,00486;0,00485;0,5;66783,624;323,631;66621,808;3162398,984;47,353
1901;10;0,00479;0,00478;0,5;66459,993;317,676;66301,155;3095777,176;46,581
1901;11;0,00443;0,00442;0,5;66142,317;292,256;65996,189;3029476,02;45,802
1901;12;0,00458;0,00457;0,5;65850,062;300,903;65699,61;2963479,831;45,003
1901;13;0,00468;0,00467;0,5;65549,158;306,053;65396,132;2897780,221;44,208
1901;14;0,00462;0,00461;0,5;65243,105;300,73;65092,74;2832384,089;43,413
1901;15;0,0053;0,00529;0,5;64942,375;343,242;64770,754;2767291,349;42,611
1901;16;0,00577;0,00575;0,5;64599,132;371,693;64413,286;2702520,596;41,835
1901;17;0,00652;0,0065;0,5;64227,439;417,29;64018,794;2638107,31;41,074
1901;18;0,00725;0,00722;0,5;63810,149;460,926;63579,686;2574088,516;40,34
1901;19;0,00743;0,00741;0,5;63349,223;469,17;63114,638;2510508,83;39,63
1901;20;0,00764;0,00761;0,5;62880,053;478,553;62640,776;2447394,192;38,922
1901;21;0,00848;0,00844;0,5;62401,5;526,811;62138,094;2384753,416;38,216
1901;22;0,00883;0,00879;0,5;61874,688;543,941;61602,718;2322615,322;37,537
1901;23;0,0083;0,00826;0,5;61330,747;506,677;61077,409;2261012,604;36,866
1901;24;0,00766;0,00763;0,5;60824,07;464,168;60591,986;2199935,195;36,169
1901;25;0,00778;0,00775;0,5;60359,902;467,517;60126,143;2139343,209;35,443
1901;26;0,00793;0,0079;0,5;59892,385;473,272;59655,749;2079217,066;34,716
1901;27;0,00742;0,00739;0,5;59419,113;439,275;59199,476;2019561,317;33,988
1901;28;0,0079;0,00787;0,5;58979,838;464,394;58747,641;1960361,841;33,238
1901;29;0,00724;0,00722;0,5;58515,445;422,283;58304,303;1901614,2;32,498
1901;30;0,00823;0,00819;0,5;58093,161;475,91;57855,206;1843309,897;31,73
1901;31;0,00856;0,00852;0,5;57617,251;490,859;57371,822;1785454,691;30,988
1901;32;0,00941;0,00937;0,5;57126,392;535,249;56858,768;1728082,869;30,25
1901;33;0,00946;0,00942;0,5;56591,144;533,108;56324,59;1671224,102;29,532
1901;34;0,0099;0,00985;0,5;56058,036;552,343;55781,864;1614899,512;28,808
1901;35;0,01084;0,01078;0,5;55505,693;598,624;55206,381;1559117,648;28,089
1901;36;0,01157;0,01151;0,5;54907,069;631,761;54591,189;1503911,267;27,39
1901;37;0,01229;0,01221;0,5;54275,308;662,728;53943,944;1449320,078;26,703
1901;38;0,01257;0,01249;0,5;53612,58;669,458;53277,851;1395376,134;26,027
1901;39;0,01256;0,01248;0,5;52943,122;660,638;52612,803;1342098,283;25,35
1901;40;0,01417;0,01407;0,5;52282,484;735,615;51914,677;1289485,48;24,664
1901;41;0,01384;0,01375;0,5;51546,869;708,757;51192,491;1237570,803;24,009
1901;42;0,01435;0,01425;0,5;50838,112;724,522;50475,852;1186378,313;23,336
1901;43;0,0142;0,0141;0,5;50113,591;706,45;49760,366;1135902,461;22,667
1901;44;0,01417;0,01407;0,5;49407,141;694,966;49059,658;1086142,095;21,984
1901;45;0,01548;0,01536;0,5;48712,175;748,131;48338,11;1037082,438;21,29
1901;46;0,0156;0,01548;0,5;47964,044;742,26;47592,914;988744,328;20,614
1901;47;0,01668;0,01654;0,5;47221,784;780,966;46831,301;941151,414;19,93
1901;48;0,01774;0,01758;0,5;46440,819;816,493;46032,572;894320,113;19,257
1901;49;0,01935;0,01916;0,5;45624,326;874,191;45187,23;848287,54;18,593
1901;50;0,02242;0,02217;0,5;44750,135;992,03;44254,12;803100,31;17,946
1901;51;0,02095;0,02073;0,5;43758,104;907,125;43304,542;758846,191;17,342
1901;52;0,02324;0,02297;0,5;42850,979;984,428;42358,766;715541,649;16,698
1901;53;0,02357;0,02329;0,5;41866,552;975,169;41378,968;673182,883;16,079
1901;54;0,02455;0,02425;0,5;40891,383;991,771;40395,498;631803,916;15,451
1901;55;0,0284;0,028;0,5;39899,612;1117,151;39341,037;591408,418;14,822
1901;56;0,03205;0,03154;0,5;38782,461;1223,214;38170,854;552067,381;14,235
1901;57;0,03375;0,03319;0,5;37559,247;1246,592;36935,951;513896,527;13,682
1901;58;0,03784;0,03714;0,5;36312,655;1348,575;35638,368;476960,576;13,135
1901;59;0,03846;0,03773;0,5;34964,08;1319,274;34304,443;441322,209;12,622
1901;60;0,04389;0,04295;0,5;33644,806;1445,038;32922,287;407017,765;12,097
1901;61;0,04225;0,04138;0,5;32199,768;1332,422;31533,558;374095,478;11,618
1901;62;0,04654;0,04548;0,5;30867,347;1403,823;30165,435;342561,921;11,098
1901;63;0,04786;0,04674;0,5;29463,524;1377,155;28774,946;312396,485;10,603
1901;64;0,05174;0,05044;0,5;28086,369;1416,579;27378,08;283621,539;10,098
1901;65;0,05946;0,05774;0,5;26669,79;1539,942;25899,819;256243,459;9,608
1901;66;0,06303;0,06111;0,5;25129,848;1535,613;24362,042;230343,64;9,166
1901;67;0,06538;0,06331;0,5;23594,236;1493,708;22847,382;205981,598;8,73
1901;68;0,06957;0,06723;0,5;22100,528;1485,903;21357,577;183134,216;8,286
1901;69;0,0714;0,06894;0,5;20614,625;1421,204;19904,023;161776,64;7,848
1901;70;0,08652;0,08293;0,5;19193,421;1591,779;18397,532;141872,617;7,392
1901;71;0,08559;0,08208;0,5;17601,642;1444,741;16879,272;123475,085;7,015
1901;72;0,09341;0,08924;0,5;16156,902;1441,825;15435,989;106595,813;6,598
1901;73;0,10014;0,09536;0,5;14715,077;1403,289;14013,432;91159,824;6,195
1901;74;0,11101;0,10517;0,5;13311,788;1400,046;12611,765;77146,391;5,795
1901;75;0,12277;0,11567;0,5;11911,741;1377,784;11222,849;64534,627;5,418
1901;76;0,13147;0,12336;0,5;10533,957;1299,516;9884,199;53311,778;5,061
1901;77;0,1508;0,14022;0,5;9234,442;1294,885;8586,999;43427,578;4,703
1901;78;0,17418;0,16023;0,5;7939,556;1272,125;7303,494;34840,579;4,388
1901;79;0,18763;0,17153;0,5;6667,431;1143,692;6095,585;27537,086;4,13
1901;80;0,19668;0,17907;0,5;5523,739;989,117;5029,181;21441,501;3,882
1901;81;0,19548;0,17807;0,5;4534,622;807,488;4130,878;16412,32;3,619
1901;82;0,23905;0,21353;0,5;3727,134;795,852;3329,208;12281,442;3,295
1901;83;0,24893;0,22138;0,5;2931,282;648,92;2606,822;8952,234;3,054
1901;84;0,30115;0,26174;0,5;2282,362;597,381;1983,671;6345,413;2,78
1901;85;0,31228;0,2701;0,5;1684,981;455,121;1457,42;4361,741;2,589
1901;86;0,35141;0,2989;0,5;1229,86;367,6;1046,06;2904,321;2,362
1901;87;0,41919;0,34656;0,5;862,26;298,821;712,849;1858,262;2,155
1901;88;0,45316;0,36945;0,5;563,439;208,163;459,357;1145,412;2,033
1901;89;0,49003;0,39359;0,5;355,276;139,834;285,359;686,055;1,931
1901;90;0,49428;0,39633;0,5;215,441;85,386;172,748;400,696;1,86
1901;91;0,53082;0,41948;0,5;130,055;54,556;102,777;227,948;1,753
1901;92;0,56703;0,44178;0,5;75,499;33,354;58,822;125,171;1,658
1901;93;0,60254;0,46304;0,5;42,145;19,515;32,388;66,349;1,574
1901;94;0,637;0,48312;0,5;22,63;10,933;17,164;33,961;1,501
1901;95;0,67011;0,50193;0,5;11,697;5,871;8,761;16,798;1,436
1901;96;0,70161;0,5194;0,5;5,826;3,026;4,313;8,036;1,379
1901;97;0,73131;0,5355;0,5;2,8;1,499;2,05;3,723;1,33
1901;98;0,75907;0,55024;0,5;1,301;0,716;0,943;1,673;1,287
1901;99;0,78481;0,56363;0,5;0,585;0,33;0,42;0,73;1,249
1901;100;0,80849;0,57575;0,5;0,255;0,147;0,182;0,31;1,216
1901;101;0,83013;0,58663;0,5;0,108;0,064;0,077;0,129;1,187
1901;102;0,84977;0,59638;0,5;0,045;0,027;0,031;0,052;1,163
1901;103;0,86751;0,60506;0,5;0,018;0,011;0,013;0,021;1,142
1901;104;0,88344;0,61277;0,5;0,007;0,004;0,005;0,008;1,125
1901;105;0,89768;1;1,114;0,003;0,003;0,003;0,003;1,114
1902;0;0,19222;0,17029;0,33;1e+05;17028,608;88590,833;3969900,539;39,699
1902;1;0,06952;0,06719;0,5;82971,392;5574,448;80184,168;3881309,706;46,779
1902;2;0,04;0,03922;0,5;77396,944;3035,448;75879,22;3801125,538;49,112
1902;3;0,02421;0,02392;0,5;74361,496;1778,583;73472,205;3725246,317;50,096
1902;4;0,01657;0,01643;0,5;72582,913;1192,668;71986,579;3651774,113;50,312
1902;5;0,01088;0,01082;0,5;71390,245;772,652;71003,919;3579787,533;50,144
1902;6;0,00829;0,00826;0,5;70617,593;583,033;70326,076;3508783,614;49,687
1902;7;0,00689;0,00687;0,5;70034,56;481,169;69793,975;3438457,538;49,097
1902;8;0,00581;0,00579;0,5;69553,39;402,675;69352,053;3368663,563;48,433
1902;9;0,00442;0,00441;0,5;69150,715;305,11;68998,16;3299311,511;47,712
1902;10;0,00358;0,00357;0,5;68845,605;245,978;68722,616;3230313,351;46,921
1902;11;0,00314;0,00313;0,5;68599,627;214,807;68492,224;3161590,735;46,088
1902;12;0,00289;0,00289;0,5;68384,82;197,578;68286,031;3093098,511;45,231
1902;13;0,00307;0,00307;0,5;68187,242;209,065;68082,709;3024812,48;44,36
1902;14;0,00364;0,00363;0,5;67978,176;246,652;67854,85;2956729,771;43,495
1902;15;0,00486;0,00485;0,5;67731,524;328,535;67567,256;2888874,921;42,652
1902;16;0,00643;0,00641;0,5;67402,989;432,158;67186,91;2821307,664;41,857
1902;17;0,00768;0,00765;0,5;66970,83;512,583;66714,539;2754120,755;41,124
1902;18;0,00848;0,00845;0,5;66458,247;561,297;66177,599;2687406,216;40,438
1902;19;0,00861;0,00858;0,5;65896,95;565,198;65614,351;2621228,617;39,778
1902;20;0,00813;0,0081;0,5;65331,752;529,233;65067,135;2555614,266;39,117
1902;21;0,00884;0,0088;0,5;64802,519;570,262;64517,388;2490547,131;38,433
1902;22;0,00846;0,00842;0,5;64232,257;541,099;63961,707;2426029,743;37,77
1902;23;0,00813;0,00809;0,5;63691,158;515,47;63433,423;2362068,036;37,086
1902;24;0,00812;0,00808;0,5;63175,688;510,701;62920,338;2298634,613;36,385
1902;25;0,00847;0,00843;0,5;62664,987;528,387;62400,794;2235714,276;35,677
1902;26;0,00929;0,00924;0,5;62136,6;574,367;61849,416;2173313,482;34,976
1902;27;0,00929;0,00925;0,5;61562,232;569,448;61277,508;2111464,066;34,298
1902;28;0,00955;0,00951;0,5;60992,784;579,942;60702,813;2050186,558;33,614
1902;29;0,00912;0,00908;0,5;60412,842;548,564;60138,56;1989483,745;32,931
1902;30;0,00906;0,00902;0,5;59864,278;540,017;59594,269;1929345,185;32,229
1902;31;0,00914;0,0091;0,5;59324,261;539,63;59054,445;1869750,916;31,517
